담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제2조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제3조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2013-12-11,2024-01-02
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제3조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제5조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제5조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2008-12-24,2021-11-30
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제5조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제7조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제7조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2008-12-24,2021-11-30
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제5조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제7조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제7조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2008-12-24,2021-11-30
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제6조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제7조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제7조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2008-12-24,2021-11-30
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제8조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제9조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제9조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2013-12-11,2021-01-05
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제9조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제9조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제9조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2013-12-11,2021-01-05
행정지원과,군포시 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2015-12-09,제13조,실질 검토,지방공무원 명예퇴직수당 등 지급규정,제12조,내용변경,「지방공무원 명예퇴직수당 등 지급규정」 제12조 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비,2008-12-24,2021-11-30
행정지원과,군포시 사무의 공공기관 위탁 및 대행에 관한 조례,2025-03-17,제2조,실질 검토,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-06-09,2025-10-01
행정지원과,군포시 사무의 공공기관 위탁 및 대행에 관한 조례,2025-03-17,제2조,실질 검토,지방공기업법,제49조,내용변경,「지방공기업법」 제49조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-07-26,2025-04-01
행정지원과,군포시 사무의 공공기관 위탁 및 대행에 관한 조례,2025-03-17,제8조,실질 검토,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2020-06-09,2025-10-01
행정지원과,군포시 지방공무원 인사 규칙,2026-04-22,제3조,실질 검토,지방공무원 임용령,제21조의2,내용변경,「지방공무원 임용령」 제21조의2 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2021-11-30,2026-06-30
행정지원과,군포시 지방공무원 인사 규칙,2026-04-22,제15조,실질 검토,지방공무원 임용령,제17조,내용변경,「지방공무원 임용령」 제17조 개정 내용을 반영하여 이 조례 제15조을(를) 검토·정비,2025-01-07,2026-06-30
행정지원과,군포시 지방공무원 인사 규칙,2026-04-22,제32조,실질 검토,지방공무원 임용령,제33조,내용변경,「지방공무원 임용령」 제33조 개정 내용을 반영하여 이 조례 제32조을(를) 검토·정비,2025-01-07,2026-06-30
행정지원과,군포시 고문 공인노무사 운영 조례,2018-10-08,제3조,서식 정정,공인노무사법,제3조,서식,"(서식만 정비) ""공인노무사법 제3조""를 ""「공인노무사법」 제3조""로 정정 — 내용 변경은 없음 (이 조례 제3조)",2016-04-28,2022-12-11
행정지원과,군포시 고문 공인노무사 운영 조례,2018-10-08,제3조,실질 검토,공인노무사법,제20조,내용변경,「공인노무사법」 제20조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비 (덧붙여 「공인노무사법」처럼 꺽쇠 서식으로 정정),2010-06-04,2022-06-10
행정지원과,군포시 공무원 후생복지에 관한 조례,2024-12-10,제9조,실질 검토,공무원 노동조합 및 운영 등에 관한 법률,,제명변경,인용한 「공무원 노동조합 및 운영 등에 관한 법률」이(가) 현행 「공무원의 노동조합 설립 및 운영 등에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
